"placeLabel","toponyms","typeLabel","geometry","cornuData"
"الخوار","الخوار","towns","POINT (52.40859 35.26209)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Ḫuwār', 'cornu_URI': 'KHUWAR_524E352N_S', 'toponym_arabic': 'الخوار', 'top_type_orig': 'canton', 'toponym_buckwalter': 'al-Khuwar', 'toponym_arabic_other': 'الخوار', 'toponym_translit': 'al-Ḫuwār', 'coord_lat': '35.26209', 'toponym_search': 'al-Khuwar', 'region_code': 'Daylam', 'coord_lon': '52.40859', 'region_spelled': 'al-Daylam', 'top_type_hom': 'towns'}"
"مزينان","مزينان","villages","POINT (56.95205 36.27876)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Mazīnān', 'cornu_URI': 'MAZINAN_569E362N_S', 'toponym_arabic': 'مزينان', 'top_type_orig': 'localite', 'toponym_buckwalter': 'Mazinan', 'toponym_arabic_other': 'مزينان', 'toponym_translit': 'Mazīnān', 'coord_lat': '36.27876', 'toponym_search': 'Mazinan', 'region_code': 'Khurasan', 'coord_lon': '56.95205', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'villages'}"
"حروري","حروري","villages","POINT (62.39332 31.2857)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ḥarūrī', 'cornu_URI': 'HARURI_623E312N_S', 'toponym_arabic': 'حروري', 'top_type_orig': 'localite', 'toponym_buckwalter': 'Haruri', 'toponym_arabic_other': 'حروري', 'toponym_translit': 'Ḥarūrī', 'coord_lat': '31.28570', 'toponym_search': 'Haruri', 'region_code': 'Sijistan', 'coord_lon': '62.39332', 'region_spelled': 'Sijistān (Sīstān)', 'top_type_hom': 'villages'}"
"جب العوسج","جب العوسج","waystations","POINT (27.30318 31.04479)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ǧubb al-ʿAwsaǧ', 'cornu_URI': 'JUBBAWSAJ_273E310N_S', 'toponym_arabic': 'جب العوسج', 'top_type_orig': 'etape', 'toponym_buckwalter': 'Jubb al-Awsaj', 'toponym_arabic_other': 'جب العوسج', 'toponym_translit': 'Ǧubb al-ʿAwsaǧ', 'coord_lat': '31.04479', 'toponym_search': 'Jubb al-Awsaj', 'region_code': 'Barqa', 'coord_lon': '27.30318', 'region_spelled': 'Barqaŧ (Lybia)', 'top_type_hom': 'waystations'}"
"تجنة","تجنة","towns","POINT (1.35022 36.34557)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Taǧannaŧ', 'cornu_URI': 'TAJANNA_013E363N_S', 'toponym_arabic': 'تجنة', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Tajanna', 'toponym_arabic_other': 'تجنة', 'toponym_translit': 'Taǧannaŧ', 'coord_lat': '36.34557', 'toponym_search': 'Tajanna', 'region_code': 'Maghrib', 'coord_lon': '1.35022', 'region_spelled': 'al-Maġrib', 'top_type_hom': 'towns'}"
"بهمناباذ","بهمناباذ","villages","POINT (56.83212 36.32897)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Bahmanābāḏ', 'cornu_URI': 'BAHMANABADH_568E363N_S', 'toponym_arabic': 'بهمناباذ', 'top_type_orig': 'localite', 'toponym_buckwalter': 'Bahmanabadh', 'toponym_arabic_other': 'بهمناباذ', 'toponym_translit': 'Bahmanābāḏ', 'coord_lat': '36.32897', 'toponym_search': 'Bahmanabadh', 'region_code': 'Khurasan', 'coord_lon': '56.83212', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'villages'}"
"دركوجوي","دركوجوي","waystations","POINT (57.77635 30.76476)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Darkūǧuwī', 'cornu_URI': 'DARKUJUWI_577E307N_S', 'toponym_arabic': 'دركوجوي', 'top_type_orig': 'relais', 'toponym_buckwalter': 'Darkujuwi', 'toponym_arabic_other': 'دركوجوي', 'toponym_translit': 'Darkūǧuwī', 'coord_lat': '30.76476', 'toponym_search': 'Darkujuwi', 'region_code': 'Mafaza', 'coord_lon': '57.77635', 'region_spelled': 'al-Mafāzaŧ', 'top_type_hom': 'waystations'}"
"الدالية","الدالية","towns","POINT (40.74111 34.71355)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Dāliyaŧ', 'cornu_URI': 'DALIYA_407E347N_S', 'toponym_arabic': 'الدالية', 'top_type_orig': 'cite', 'toponym_buckwalter': 'al-Daliya', 'toponym_arabic_other': 'الدالية', 'toponym_translit': 'al-Dāliyaŧ', 'coord_lat': '34.71355', 'toponym_search': 'al-Daliya', 'region_code': 'Aqur', 'coord_lon': '40.74111', 'region_spelled': 'Aqūr (al-Jazīraŧ)', 'top_type_hom': 'towns'}"
"دلاص","دلاص، دلاص","towns","POINT (31.16142 29.21524)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Dalāṣ, Dilāṣ', 'cornu_URI': 'DALAS_311E292N_S', 'toponym_arabic': 'دلاص', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Dalas, Dilas', 'toponym_arabic_other': 'دلاص، دلاص', 'toponym_translit': 'Dalāṣ', 'coord_lat': '29.21524', 'toponym_search': 'Dalas, Dilas', 'region_code': 'Egypt', 'coord_lon': '31.16142', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'towns'}"
"النحيت","النحيت","waystations","POINT (42.853 31.4989)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Naḥīt', 'cornu_URI': 'NAHIT_428E314N_S', 'toponym_arabic': 'النحيت', 'top_type_orig': 'etape', 'toponym_buckwalter': 'al-Nahit', 'toponym_arabic_other': 'النحيت', 'toponym_translit': 'al-Naḥīt', 'coord_lat': '31.49890', 'toponym_search': 'al-Nahit', 'region_code': 'Badiyat al-Arab', 'coord_lon': '42.85300', 'region_spelled': 'Badiyyaŧ al-ʿarab', 'top_type_hom': 'waystations'}"
"زاب الكبير","زاب الكبير، زاب الاعلى","waters","POINT (43.87398 36.3752)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Zāb al-Kabīr, Zāb al-Aʿlá', 'cornu_URI': 'ZABKABIR_438E363N_W', 'toponym_arabic': 'زاب الكبير', 'top_type_orig': 'riviere', 'toponym_buckwalter': 'Zab al-Kabir, Zab al-Ala', 'toponym_arabic_other': 'زاب الكبير، زاب الأعلى', 'toponym_translit': 'Zāb al-Kabīr', 'coord_lat': '36.37520', 'toponym_search': 'Zab al-Kabir, Zab al-Ala', 'region_code': 'Aqur', 'coord_lon': '43.87398', 'region_spelled': 'Aqūr (al-Jazīraŧ)', 'top_type_hom': 'waters'}"
"احور","احور","towns","POINT (46.61972 13.56967)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Aḥwar', 'cornu_URI': 'AHWAR_466E135N_S', 'toponym_arabic': 'أحور', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Ahwar', 'toponym_arabic_other': 'أحور', 'toponym_translit': 'Aḥwar', 'coord_lat': '13.56967', 'toponym_search': 'Ahwar', 'region_code': 'Yemen', 'coord_lon': '46.61972', 'region_spelled': 'al-Yaman', 'top_type_hom': 'towns'}"
"المنخرق","المنخرق","towns","POINT (41.13557 35.33548)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Munḫariq', 'cornu_URI': 'MUNKHARIQ_411E353N_S', 'toponym_arabic': 'المنخرق', 'top_type_orig': 'cite?', 'toponym_buckwalter': 'al-Munkhariq', 'toponym_arabic_other': 'المنخرق', 'toponym_translit': 'al-Munḫariq', 'coord_lat': '35.33548', 'toponym_search': 'al-Munkhariq', 'region_code': 'Aqur', 'coord_lon': '41.13557', 'region_spelled': 'Aqūr (al-Jazīraŧ)', 'top_type_hom': 'towns'}"
"المهجرة","المهجرة","villages","POINT (43.54039 17.60657)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Mahǧaraŧ', 'cornu_URI': 'MAHJARA_435E176N_S', 'toponym_arabic': 'المهجرة', 'top_type_orig': 'localite', 'toponym_buckwalter': 'al-Mahjara', 'toponym_arabic_other': 'المهجرة', 'toponym_translit': 'al-Mahǧaraŧ', 'coord_lat': '17.60657', 'toponym_search': 'al-Mahjara', 'region_code': 'Jazirat al-Arab', 'coord_lon': '43.54039', 'region_spelled': 'Jazīraŧ al-ʿarab', 'top_type_hom': 'villages'}"
"دزا","دزا، دزه، ورمين","sites","POINT (51.65 35.3031)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Dizā, Dizah, Waramīn', 'cornu_URI': 'DIZA_516E353N_O', 'toponym_arabic': 'دزا', 'top_type_orig': 'site', 'toponym_buckwalter': 'Diza, Dizah, Waramin', 'toponym_arabic_other': 'دزا، دزه، ورمين', 'toponym_translit': 'Dizā', 'coord_lat': '35.30310', 'toponym_search': 'Diza, Dizah, Waramin', 'region_code': 'Jibal', 'coord_lon': '51.65000', 'region_spelled': 'al-Jibāl', 'top_type_hom': 'sites'}"
"فيشة ابن سليم","فيشة ابن سليم","villages","POINT (30.92633 30.76345)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Fīšaŧ Ibn Sulaym', 'cornu_URI': 'FISHAIBNSULAYM_309E307N_S', 'toponym_arabic': 'فيشة إبن سليم', 'top_type_orig': 'village', 'toponym_buckwalter': 'Fisha Ibn Sulaym', 'toponym_arabic_other': 'فيشة إبن سليم', 'toponym_translit': 'Fīšaŧ Ibn Sulaym', 'coord_lat': '30.76345', 'toponym_search': 'Fisha Ibn Sulaym', 'region_code': 'Egypt', 'coord_lon': '30.92633', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'villages'}"
"مدينة شلب","مدينة شلب، شلب","towns","POINT (-8.423080000000001 37.22519)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Madīnaŧ Šalab, Šilb', 'cornu_URI': 'MADINASHALAB_084W372N_S', 'toponym_arabic': 'مدينة شلب', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Madina Shalab, Shilb', 'toponym_arabic_other': 'مدينة شلب، شلب', 'toponym_translit': 'Madīnaŧ Šalab', 'coord_lat': '37.22519', 'toponym_search': 'Madina Shalab, Shilb', 'region_code': 'Andalus', 'coord_lon': '-8.42308', 'region_spelled': 'al-Andalus (Spain)', 'top_type_hom': 'towns'}"
"سويس","سويس","villages","POINT (32.54404 29.97325)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Suways', 'cornu_URI': 'SUWAYS_325E299N_S', 'toponym_arabic': 'سويس', 'top_type_orig': 'localite', 'toponym_buckwalter': 'Suways', 'toponym_arabic_other': 'سويس', 'toponym_translit': 'Suways', 'coord_lat': '29.97325', 'toponym_search': 'Suways', 'region_code': 'Egypt', 'coord_lon': '32.54404', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'villages'}"
"بطليوس","بطليوس، بطليوث","towns","POINT (-6.99606 38.835)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Baṭalyūs, Baṭalyūṯ', 'cornu_URI': 'BATALYUS_069W388N_S', 'toponym_arabic': 'بطليوس', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Batalyus, Batalyuth', 'toponym_arabic_other': 'بطليوس، بطليوث', 'toponym_translit': 'Baṭalyūs', 'coord_lat': '38.83500', 'toponym_search': 'Batalyus, Batalyuth', 'region_code': 'Andalus', 'coord_lon': '-6.99606', 'region_spelled': 'al-Andalus (Spain)', 'top_type_hom': 'towns'}"
"شبام","شبام","towns","POINT (48.57208 15.92483)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Šibām', 'cornu_URI': 'SHIBAM_485E159N_S', 'toponym_arabic': 'شبام', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Shibam', 'toponym_arabic_other': 'شبام', 'toponym_translit': 'Šibām', 'coord_lat': '15.92483', 'toponym_search': 'Shibam', 'region_code': 'Yemen', 'coord_lon': '48.57208', 'region_spelled': 'al-Yaman', 'top_type_hom': 'towns'}"
"رباط زنجي","رباط زنجي","waystations","POINT (57.43239 34.84612)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ribāṭ Zanǧī', 'cornu_URI': 'RIBATZANJI_574E348N_S', 'toponym_arabic': 'رباط زنجي', 'top_type_orig': 'etape', 'toponym_buckwalter': 'Ribat Zanji', 'toponym_arabic_other': 'رباط زنجي', 'toponym_translit': 'Ribāṭ Zanǧī', 'coord_lat': '34.84612', 'toponym_search': 'Ribat Zanji', 'region_code': 'Mafaza', 'coord_lon': '57.43239', 'region_spelled': 'al-Mafāzaŧ', 'top_type_hom': 'waystations'}"
"صنعاء","صنعاء","capitals","POINT (44.20186 15.37373)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ṣanʿāʾ', 'cornu_URI': 'SANA_442E153N_S', 'toponym_arabic': 'صنعاء', 'top_type_orig': 'capitale', 'toponym_buckwalter': 'Sana', 'toponym_arabic_other': 'صنعاء', 'toponym_translit': 'Ṣanʿāʾ', 'coord_lat': '15.37373', 'toponym_search': 'Sana', 'region_code': 'Yemen', 'coord_lon': '44.20186', 'region_spelled': 'al-Yaman', 'top_type_hom': 'capitals'}"
"العونيد","العونيد","towns","POINT (35.99173 27.00533)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-ʿAwnīd', 'cornu_URI': 'AWNID_359E270N_S', 'toponym_arabic': 'العونيد', 'top_type_orig': 'cite', 'toponym_buckwalter': 'al-Awnid', 'toponym_arabic_other': 'العونيد', 'toponym_translit': 'al-ʿAwnīd', 'coord_lat': '27.00533', 'toponym_search': 'al-Awnid', 'region_code': 'Jazirat al-Arab', 'coord_lon': '35.99173', 'region_spelled': 'Jazīraŧ al-ʿarab', 'top_type_hom': 'towns'}"
"حمام ابن عمر","حمام ابن عمر","towns","POINT (44.34773 32.39084)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ḥammām Ibn ʿUmar', 'cornu_URI': 'HAMMAMIBNUMAR_443E323N_S', 'toponym_arabic': 'حمام إبن عمر', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Hammam Ibn Umar', 'toponym_arabic_other': 'حمام إبن عمر', 'toponym_translit': 'Ḥammām Ibn ʿUmar', 'coord_lat': '32.39084', 'toponym_search': 'Hammam Ibn Umar', 'region_code': 'Iraq', 'coord_lon': '44.34773', 'region_spelled': 'al-ʿIrāq', 'top_type_hom': 'towns'}"
"وان","وان","villages","POINT (43.34872 38.57711)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Wān', 'cornu_URI': 'WAN_433E385N_S', 'toponym_arabic': 'وان', 'top_type_orig': 'localite', 'toponym_buckwalter': 'Wan', 'toponym_arabic_other': 'وان', 'toponym_translit': 'Wān', 'coord_lat': '38.57711', 'toponym_search': 'Wan', 'region_code': 'Rihab', 'coord_lon': '43.34872', 'region_spelled': 'al-Riḥāb (Caucasus)', 'top_type_hom': 'villages'}"
"بغرقان","بغرقان","villages","POINT (61.27533 41.43986)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Baġirqān', 'cornu_URI': 'BAGHIRQAN_612E414N_S', 'toponym_arabic': 'بغرقان', 'top_type_orig': 'localite', 'toponym_buckwalter': 'Baghirqan', 'toponym_arabic_other': 'بغرقان', 'toponym_translit': 'Baġirqān', 'coord_lat': '41.43986', 'toponym_search': 'Baghirqan', 'region_code': 'Transoxiana', 'coord_lon': '61.27533', 'region_spelled': 'Mā-warāʾ-l-nahr (Transoxiana)', 'top_type_hom': 'villages'}"
"دندرة","دندرة","regions","POINT (32.64544 26.15778)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Dandaraŧ', 'cornu_URI': 'DANDARA_326E261N_R', 'toponym_arabic': 'دندرة', 'top_type_orig': 'district', 'toponym_buckwalter': 'Dandara', 'toponym_arabic_other': 'دندرة', 'toponym_translit': 'Dandaraŧ', 'coord_lat': '26.15778', 'toponym_search': 'Dandara', 'region_code': 'Egypt', 'coord_lon': '32.64544', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'regions'}"
"باكوه","باكوه","towns","POINT (49.86422 40.379)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Bākūh', 'cornu_URI': 'BAKUH_498E403N_S', 'toponym_arabic': 'باكوه', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Bakuh', 'toponym_arabic_other': 'باكوه', 'toponym_translit': 'Bākūh', 'coord_lat': '40.37900', 'toponym_search': 'Bakuh', 'region_code': 'Rihab', 'coord_lon': '49.86422', 'region_spelled': 'al-Riḥāb (Caucasus)', 'top_type_hom': 'towns'}"
"بحر الخزر","بحر الخزر","waters","POINT (51.54135 39.08291)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Baḥr al-Ḫazar', 'cornu_URI': 'BAHRKHAZAR_515E390N_W', 'toponym_arabic': 'بحر الخزر', 'top_type_orig': 'lac', 'toponym_buckwalter': 'Bahr al-Khazar', 'toponym_arabic_other': 'بحر الخزر', 'toponym_translit': 'Baḥr al-Ḫazar', 'coord_lat': '39.08291', 'toponym_search': 'Bahr al-Khazar', 'region_code': 'Rihab', 'coord_lon': '51.54135', 'region_spelled': 'al-Daylam', 'top_type_hom': 'waters'}"
"صخا","صخا","towns","POINT (30.92519 31.08645)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ṣaḫā', 'cornu_URI': 'SAKHA_309E310N_S', 'toponym_arabic': 'صخا', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Sakha', 'toponym_arabic_other': 'صخا', 'toponym_translit': 'Ṣaḫā', 'coord_lat': '31.08645', 'toponym_search': 'Sakha', 'region_code': 'Egypt', 'coord_lon': '30.92519', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'towns'}"
"بيهق","بيهق","regions","POINT (57.6484 36.08485)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Bayhaq', 'cornu_URI': 'BAYHAQ_576E360N_R', 'toponym_arabic': 'بيهق', 'top_type_orig': 'region', 'toponym_buckwalter': 'Bayhaq', 'toponym_arabic_other': 'بيهق', 'toponym_translit': 'Bayhaq', 'coord_lat': '36.08485', 'toponym_search': 'Bayhaq', 'region_code': 'Khurasan', 'coord_lon': '57.64840', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'regions'}"
"السكر","السكر","towns","POINT (46.77226 32.19607)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Sikr', 'cornu_URI': 'SIKR_467E321N_S', 'toponym_arabic': 'السكر', 'top_type_orig': 'cite', 'toponym_buckwalter': 'al-Sikr', 'toponym_arabic_other': 'السكر', 'toponym_translit': 'al-Sikr', 'coord_lat': '32.19607', 'toponym_search': 'al-Sikr', 'region_code': 'Iraq', 'coord_lon': '46.77226', 'region_spelled': 'al-ʿIrāq', 'top_type_hom': 'towns'}"
"الرون","الرون","regions","POINT (52.44 30.7491)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Rūn', 'cornu_URI': 'RUN_524E307N_R', 'toponym_arabic': 'الرون', 'top_type_orig': 'region', 'toponym_buckwalter': 'al-Run', 'toponym_arabic_other': 'الرون', 'toponym_translit': 'al-Rūn', 'coord_lat': '30.74910', 'toponym_search': 'al-Run', 'region_code': 'Faris', 'coord_lon': '52.44000', 'region_spelled': 'Fārs(or Fāris)', 'top_type_hom': 'regions'}"
"القرينين","القرينين","villages","POINT (62.44974 36.5754)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Qarīnayn', 'cornu_URI': 'QARINAYN_624E365N_S', 'toponym_arabic': 'القرينين', 'top_type_orig': 'localite', 'toponym_buckwalter': 'al-Qarinayn', 'toponym_arabic_other': 'القرينين', 'toponym_translit': 'al-Qarīnayn', 'coord_lat': '36.57540', 'toponym_search': 'al-Qarinayn', 'region_code': 'Khurasan', 'coord_lon': '62.44974', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'villages'}"
"الترميذ","الترميذ","towns","POINT (67.32393999999999 37.27697)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Tirmīḏ', 'cornu_URI': 'TIRMIDH_673E372N_S', 'toponym_arabic': 'الترميذ', 'top_type_orig': 'cite', 'toponym_buckwalter': 'al-Tirmidh', 'toponym_arabic_other': 'الترميذ', 'toponym_translit': 'al-Tirmīḏ', 'coord_lat': '37.27697', 'toponym_search': 'al-Tirmidh', 'region_code': 'Transoxiana', 'coord_lon': '67.32394', 'region_spelled': 'Mā-warāʾ-l-nahr (Transoxiana)', 'top_type_hom': 'towns'}"
"وادعة","وادعة","regions","POINT (43.80678 16.03244)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Wādiʿaŧ', 'cornu_URI': 'WADIA_438E160N_R', 'toponym_arabic': 'وادعة', 'top_type_orig': 'region', 'toponym_buckwalter': 'Wadia', 'toponym_arabic_other': 'وادعة', 'toponym_translit': 'Wādiʿaŧ', 'coord_lat': '16.03244', 'toponym_search': 'Wadia', 'region_code': 'Yemen', 'coord_lon': '43.80678', 'region_spelled': 'al-Yaman', 'top_type_hom': 'regions'}"
"مدينة علويين","مدينة علويين","towns","POINT (-1.65814 34.73932)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Madīnaŧ ʿAlawiyyīn', 'cornu_URI': 'MADINAALAWIYYIN_016W347N_S', 'toponym_arabic': 'مدينة علويين', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Madina Alawiyyin', 'toponym_arabic_other': 'مدينة علويين', 'toponym_translit': 'Madīnaŧ ʿAlawiyyīn', 'coord_lat': '34.73932', 'toponym_search': 'Madina Alawiyyin', 'region_code': 'Maghrib', 'coord_lon': '-1.65814', 'region_spelled': 'al-Maġrib', 'top_type_hom': 'towns'}"
"علقي","علقي","towns","POINT (32.87404 23.01969)","{'coord_certainty': 'certain', 'toponym_translit_other': 'ʿAllaqī', 'cornu_URI': 'ALLAQI_328E230N_S', 'toponym_arabic': 'علقي', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Allaqi', 'toponym_arabic_other': 'علقي', 'toponym_translit': 'ʿAllaqī', 'coord_lat': '23.01969', 'toponym_search': 'Allaqi', 'region_code': 'Egypt', 'coord_lon': '32.87404', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'towns'}"
"بيش","بيش","towns","POINT (42.53617 17.37689)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Bayš', 'cornu_URI': 'BAYSH_425E173N_S', 'toponym_arabic': 'بيش', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Baysh', 'toponym_arabic_other': 'بيش', 'toponym_translit': 'Bayš', 'coord_lat': '17.37689', 'toponym_search': 'Baysh', 'region_code': 'Yemen', 'coord_lon': '42.53617', 'region_spelled': 'al-Yaman', 'top_type_hom': 'towns'}"
"جام","جام","regions","POINT (60.57003 35.33837)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ǧām', 'cornu_URI': 'JAM_605E353N_R', 'toponym_arabic': 'جام', 'top_type_orig': 'region', 'toponym_buckwalter': 'Jam', 'toponym_arabic_other': 'جام', 'toponym_translit': 'Ǧām', 'coord_lat': '35.33837', 'toponym_search': 'Jam', 'region_code': 'Khurasan', 'coord_lon': '60.57003', 'region_spelled': 'Ḫurāsān', 'top_type_hom': 'regions'}"
"مؤتة","مؤتة","villages","POINT (35.68544 31.06466)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Muʾtaŧ', 'cornu_URI': 'MUTA_356E310N_S', 'toponym_arabic': 'مؤتة', 'top_type_orig': 'village', 'toponym_buckwalter': 'Muta', 'toponym_arabic_other': 'مؤتة', 'toponym_translit': 'Muʾtaŧ', 'coord_lat': '31.06466', 'toponym_search': 'Muta', 'region_code': 'Sham', 'coord_lon': '35.68544', 'region_spelled': 'al-Šām (Greater Syria)', 'top_type_hom': 'villages'}"
"صغر","صغر، زغر","towns","POINT (35.46845 31.03706)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Ṣuġar, Zuġar', 'cornu_URI': 'SUGHAR_354E310N_S', 'toponym_arabic': 'صغر', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Sughar, Zughar', 'toponym_arabic_other': 'صغر، زغر', 'toponym_translit': 'Ṣuġar', 'coord_lat': '31.03706', 'toponym_search': 'Sughar, Zughar', 'region_code': 'Sham', 'coord_lon': '35.46845', 'region_spelled': 'al-Šām (Greater Syria)', 'top_type_hom': 'towns'}"
"الحاجر","الحاجر","waystations","POINT (41.75129 25.9691)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Ḥāǧir', 'cornu_URI': 'HAJIR_417E259N_S', 'toponym_arabic': 'الحاجر', 'top_type_orig': 'etape', 'toponym_buckwalter': 'al-Hajir', 'toponym_arabic_other': 'الحاجر', 'toponym_translit': 'al-Ḥāǧir', 'coord_lat': '25.96910', 'toponym_search': 'al-Hajir', 'region_code': 'Jazirat al-Arab', 'coord_lon': '41.75129', 'region_spelled': 'Jazīraŧ al-ʿarab', 'top_type_hom': 'waystations'}"
"رائن","رائن، راين","towns","POINT (57.49859 29.61311)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Rāʾin, Rāyin', 'cornu_URI': 'RAIN_574E296N_S', 'toponym_arabic': 'رائن', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Rain, Rayin', 'toponym_arabic_other': 'رائن، راين', 'toponym_translit': 'Rāʾin', 'coord_lat': '29.61311', 'toponym_search': 'Rain, Rayin', 'region_code': 'Kirman', 'coord_lon': '57.49859', 'region_spelled': 'Kirmān', 'top_type_hom': 'towns'}"
"الجفار","الجفار","regions","POINT (33.23727 30.75519)","{'coord_certainty': 'certain', 'toponym_translit_other': 'al-Ǧifār', 'cornu_URI': 'JIFAR_332E307N_R', 'toponym_arabic': 'الجفار', 'top_type_orig': 'region', 'toponym_buckwalter': 'al-Jifar', 'toponym_arabic_other': 'الجفار', 'toponym_translit': 'al-Ǧifār', 'coord_lat': '30.75519', 'toponym_search': 'al-Jifar', 'region_code': 'Egypt', 'coord_lon': '33.23727', 'region_spelled': 'Miṣr (Egypt)', 'top_type_hom': 'regions'}"
"كيزكانان","كيزكانان","towns","POINT (66.57332 29.0222)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Kīzkānān', 'cornu_URI': 'KIZKANAN_665E290N_S', 'toponym_arabic': 'كيزكانان', 'top_type_orig': 'cite', 'toponym_buckwalter': 'Kizkanan', 'toponym_arabic_other': 'كيزكانان', 'toponym_translit': 'Kīzkānān', 'coord_lat': '29.02220', 'toponym_search': 'Kizkanan', 'region_code': 'Sind', 'coord_lon': '66.57332', 'region_spelled': 'al-Sind', 'top_type_hom': 'towns'}"
"قبا","قبا","villages","POINT (39.58264 24.44572)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Qubā', 'cornu_URI': 'QUBA_395E244N_S', 'toponym_arabic': 'قبا', 'top_type_orig': 'village', 'toponym_buckwalter': 'Quba', 'toponym_arabic_other': 'قبا', 'toponym_translit': 'Qubā', 'coord_lat': '24.44572', 'toponym_search': 'Quba', 'region_code': 'Jazirat al-Arab', 'coord_lon': '39.58264', 'region_spelled': 'Jazīraŧ al-ʿarab', 'top_type_hom': 'villages'}"
"ركب","ركب","regions","POINT (43.83575 13.3854)","{'coord_certainty': 'certain', 'toponym_translit_other': 'Rakb', 'cornu_URI': 'RAKB_438E133N_R', 'toponym_arabic': 'ركب', 'top_type_orig': 'region', 'toponym_buckwalter': 'Rakb', 'toponym_arabic_other': 'ركب', 'toponym_translit': 'Rakb', 'coord_lat': '13.38540', 'toponym_search': 'Rakb', 'region_code': 'Yemen', 'coord_lon': '43.83575', 'region_spelled': 'al-Yaman', 'top_type_hom': 'regions'}"
